,country,year,sex,age,suicides_no,population,suicides_100k,gdp_for_year,gdp_per_capita,generation
0,Albania,1987,male,15-24 years,-0.24590372511141279,-0.39223433893416276,-0.32166810201808943,-0.3052689986445409,-0.8493378205421146,Generation X
1,Albania,1987,male,35-54 years,-0.2514318010038334,-0.3934841516945604,-0.40178735204384175,-0.3052689986445409,-0.8493378205421146,Silent
2,Albania,1987,female,15-24 years,-0.2536430313608017,-0.39815181975890285,-0.42076296389204626,-0.3052689986445409,-0.8493378205421146,Generation X
3,Albania,1987,male,75+ years,-0.2680160286810953,-0.4664834194549319,-0.43341337179084927,-0.3052689986445409,-0.8493378205421146,G.I. Generation
4,Albania,1987,male,25-34 years,-0.2591711072532223,-0.40207980272015276,-0.502463514905149,-0.3052689986445409,-0.8493378205421146,Boomers
5,Albania,1987,female,75+ years,-0.2680160286810953,-0.4629635386195261,-0.5272372303736381,-0.3052689986445409,-0.8493378205421146,G.I. Generation
6,Albania,1987,female,35-54 years,-0.2624879527886747,-0.4009320154912161,-0.5620258520953464,-0.3052689986445409,-0.8493378205421146,Silent
7,Albania,1987,female,25-34 years,-0.26469918314564295,-0.40644139419011205,-0.5931247715132371,-0.3052689986445409,-0.8493378205421146,Boomers
8,Albania,1987,male,55-74 years,-0.2680160286810953,-0.43697253447982715,-0.6368740988299307,-0.3052689986445409,-0.8493378205421146,G.I. Generation
9,Albania,1987,female,5-14 years,-0.26912164385957943,-0.39271896020860264,-0.6753524228554566,-0.3052689986445409,-0.8493378205421146,Generation X
10,Albania,1987,female,55-74 years,-0.26912164385957943,-0.43516158129639376,-0.6753524228554566,-0.3052689986445409,-0.8493378205421146,G.I. Generation
11,Albania,1987,male,5-14 years,-0.26912164385957943,-0.3857812240692522,-0.6753524228554566,-0.3052689986445409,-0.8493378205421146,Generation X
12,Albania,1988,female,75+ years,-0.2669104135026112,-0.462759487556604,-0.385974342170338,-0.305290009888894,-0.8507693273519514,G.I. Generation
13,Albania,1988,male,15-24 years,-0.25032618582534927,-0.3906274368136514,-0.39440794743620666,-0.305290009888894,-0.8507693273519514,Generation X
14,Albania,1988,male,75+ years,-0.2680160286810953,-0.4663558875406056,-0.4392114754111339,-0.305290009888894,-0.8507693273519514,G.I. Generation
15,Albania,1988,male,35-54 years,-0.2536430313608017,-0.3919282623397796,-0.4402656760693676,-0.305290009888894,-0.8507693273519514,Silent
16,Albania,1988,male,55-74 years,-0.26469918314564295,-0.4362838621424651,-0.5251288290571711,-0.305290009888894,-0.8507693273519514,G.I. Generation
17,Albania,1988,female,15-24 years,-0.2602767224317064,-0.39664694316985255,-0.5325082336648062,-0.305290009888894,-0.8507693273519514,Generation X
18,Albania,1988,female,55-74 years,-0.26580479832412707,-0.43442189619330124,-0.5683510560447479,-0.305290009888894,-0.8507693273519514,G.I. Generation
19,Albania,1988,female,25-34 years,-0.2635935679671588,-0.40511506228111854,-0.5746762599941494,-0.305290009888894,-0.8507693273519514,Boomers
20,Albania,1988,male,25-34 years,-0.2635935679671588,-0.4006514452796982,-0.5810014639435509,-0.305290009888894,-0.8507693273519514,Boomers
21,Albania,1988,female,35-54 years,-0.26469918314564295,-0.3994781516678963,-0.601031276449989,-0.305290009888894,-0.8507693273519514,Silent
22,Albania,1988,female,5-14 years,-0.26912164385957943,-0.3911375644709566,-0.6753524228554566,-0.305290009888894,-0.8507693273519514,Generation X
23,Albania,1988,male,5-14 years,-0.26912164385957943,-0.38404679003441455,-0.6753524228554566,-0.305290009888894,-0.8507693273519514,Generation X
24,Albania,1989,male,75+ years,-0.2669104135026112,-0.46630487477487503,-0.20676023027062887,-0.3051465326457614,-0.8473761260249308,G.I. Generation
25,Albania,1989,male,25-34 years,-0.24922057064686515,-0.39970770911368364,-0.34064371386629394,-0.3051465326457614,-0.8473761260249308,Boomers
26,Albania,1989,male,35-54 years,-0.25253741618231756,-0.3908314878765735,-0.4270881678414478,-0.3051465326457614,-0.8473761260249308,Silent
27,Albania,1989,male,55-74 years,-0.2624879527886747,-0.4357992408680252,-0.4529160839681705,-0.3051465326457614,-0.8473761260249308,G.I. Generation
28,Albania,1989,male,15-24 years,-0.2558542617177699,-0.38953066235044526,-0.47979820075312696,-0.3051465326457614,-0.8473761260249308,Generation X
29,Albania,1989,female,35-54 years,-0.2613823376101906,-0.3984323899704207,-0.5472670428800762,-0.3051465326457614,-0.8473761260249308,Silent
30,Albania,1989,female,15-24 years,-0.2635935679671588,-0.39555016870664644,-0.5873266678929524,-0.3051465326457614,-0.8473761260249308,Generation X
31,Albania,1989,female,25-34 years,-0.2669104135026112,-0.4041203133493735,-0.6358198981716973,-0.3051465326457614,-0.8473761260249308,Boomers
32,Albania,1989,female,55-74 years,-0.2680160286810953,-0.4338862621531308,-0.6400367008046316,-0.3051465326457614,-0.8473761260249308,G.I. Generation
33,Albania,1989,female,5-14 years,-0.26912164385957943,-0.38993876447628945,-0.6753524228554566,-0.3051465326457614,-0.8473761260249308,Generation X
34,Albania,1989,female,75+ years,-0.26912164385957943,-0.46260644925941247,-0.6753524228554566,-0.3051465326457614,-0.8473761260249308,G.I. Generation
35,Albania,1989,male,5-14 years,-0.26912164385957943,-0.3828479900397474,-0.6753524228554566,-0.3051465326457614,-0.8473761260249308,Generation X
36,Albania,1992,male,35-54 years,-0.2558542617177699,-0.3843528666287977,-0.4913944079936963,-0.3062618799650526,-0.8782330505925239,Boomers
37,Albania,1992,male,15-24 years,-0.2591711072532223,-0.4047834793038702,-0.49561121062663066,-0.3062618799650526,-0.8782330505925239,Generation X
38,Albania,1992,male,55-74 years,-0.2635935679671588,-0.43136113024947015,-0.5103700198419008,-0.3062618799650526,-0.8782330505925239,Silent
39,Albania,1992,male,25-34 years,-0.2613823376101906,-0.40942564098534734,-0.5251288290571711,-0.3062618799650526,-0.8782330505925239,Boomers
40,Albania,1992,female,15-24 years,-0.2613823376101906,-0.3974631474215408,-0.5493754441965434,-0.3062618799650526,-0.8782330505925239,Generation X
41,Albania,1992,female,25-34 years,-0.26469918314564295,-0.4038397431378556,-0.5962873734879378,-0.3062618799650526,-0.8782330505925239,Boomers
42,Albania,1992,female,35-54 years,-0.2669104135026112,-0.3896326878819063,-0.6426722024502155,-0.3062618799650526,-0.8782330505925239,Boomers
43,Albania,1992,female,55-74 years,-0.2680160286810953,-0.42998378557474615,-0.6431993027793323,-0.3062618799650526,-0.8782330505925239,Silent
44,Albania,1992,female,5-14 years,-0.26912164385957943,-0.3861638198122311,-0.6753524228554566,-0.3062618799650526,-0.8782330505925239,Millenials
45,Albania,1992,female,75+ years,-0.26912164385957943,-0.4621728407507031,-0.6753524228554566,-0.3062618799650526,-0.8782330505925239,G.I. Generation
46,Albania,1992,male,5-14 years,-0.26912164385957943,-0.3794811475015332,-0.6753524228554566,-0.3062618799650526,-0.8782330505925239,Millenials
47,Albania,1992,male,75+ years,-0.26912164385957943,-0.4659477854147614,-0.6753524228554566,-0.3062618799650526,-0.8782330505925239,G.I. Generation
48,Albania,1993,male,15-24 years,-0.24922057064686515,-0.409986781408383,-0.2852981793090308,-0.3059060643031883,-0.8683715592358704,Generation X
49,Albania,1993,male,55-74 years,-0.2613823376101906,-0.4299582791918809,-0.45186188330993693,-0.3059060643031883,-0.8683715592358704,Silent
50,Albania,1993,male,75+ years,-0.2680160286810953,-0.46587126626616565,-0.45765998693022164,-0.3059060643031883,-0.8683715592358704,G.I. Generation
51,Albania,1993,male,25-34 years,-0.2591711072532223,-0.41335362394659725,-0.46925619417079106,-0.3059060643031883,-0.8683715592358704,Boomers
52,Albania,1993,female,15-24 years,-0.25806549207473817,-0.39927410060497426,-0.49034020733546274,-0.3059060643031883,-0.8683715592358704,Generation X
53,Albania,1993,male,35-54 years,-0.25806549207473817,-0.38269495174255586,-0.5251288290571711,-0.3059060643031883,-0.8683715592358704,Boomers
54,Albania,1993,female,25-34 years,-0.2613823376101906,-0.40526810057831014,-0.5346166349812732,-0.3059060643031883,-0.8683715592358704,Boomers
55,Albania,1993,female,35-54 years,-0.2613823376101906,-0.38756667086982033,-0.5641342534118136,-0.3059060643031883,-0.8683715592358704,Boomers
